harbor,code,location
Port of Nykobing Falster,DKNYF,"11.79965360476449 54.74134363643849,11.79965360476449 54.79887083493267,11.918220438493421 54.79887083493267,11.918220438493421 54.74134363643849,11.79965360476449 54.74134363643849"
Gulfhavn,DKGFH,"11.266369686615715 55.225398285489256,11.311114409658783 55.225398285489256,11.311114409658783 55.17938044821456,11.233133892420256 55.17938044821456,11.266369686615715 55.225398285489256"
Port of Hobro,DKHBO,"9.74722140832072 56.61832052797843,9.74722140832072 56.664327698475965,9.84671945854015 56.664327698475965,9.84671945854015 56.61832052797843,9.74722140832072 56.61832052797843"
Terminal Middelfart,DKMID,"9.717264119240873 55.50946350634587,9.734601918313139 55.50965791927899,9.751596394631497 55.508102588929006,9.75211137876236 55.50100561439365,9.717435780617828 55.502269552797856,9.717264119240873 55.50946350634587"
Port of Mariager,DKMRR,"9.959137479752252 56.64671641352763,9.959137479752252 56.66396838391371,9.996464118626067 56.66396838391371,9.996464118626067 56.64671641352763,9.959137479752252 56.64671641352763"
Nyborg Harbours,DKNBG,"10.82870839309517 55.283689660611486,10.780643207548295 55.305582640092666,10.798324329374465 55.320822402157035,10.841754657743607 55.29698326722652,10.82870839309517 55.283689660611486"
Port of Marstal,DKMRS,"10.51925383595569 54.84331289507301,10.51489880817839 54.85800140426284,10.52216580821564 54.86050449182756,10.53768597630603 54.84675997061458,10.51925383595569 54.84331289507301"
Port of Thisted,DKTED,"8.642511874144011 56.931596566604426,8.642511874144011 56.977601446182796,8.742842960680354 56.977601446182796,8.742842960680354 56.931596566604426,8.642511874144011 56.931596566604426"
Port of Haderslev,DKHAD,"9.440553603084409 55.22502760157219,9.440553603084409 55.28255027412722,9.560555911123162 55.28255027412722,9.560555911123162 55.22502760157219,9.440553603084409 55.22502760157219"
Havneby Havn,DKHNB,"8.558497175011336 55.08266086895139,8.558096631361888 55.09140487051303,8.567251905235945 55.09120839709536,8.576807722759451 55.08619799873395,8.568854077214393 55.08269361958895,8.558497175011336 55.08266086895139"
Port of Tuborg,DKTUB,"12.57364635889993 55.71944859629915,12.5763929409303 55.72901948744185,12.61776333277474 55.74013424435,12.61862163965912 55.73462558650664,12.57364635889993 55.71944859629915"
Port of Odense,DKODE,"10.324484515991308 55.39393908729729,10.324484515991308 55.45146018652947,10.44499840223143 55.45146018652947,10.44499840223143 55.39393908729729,10.324484515991308 55.39393908729729"
Port of Hadsund,DKHSU,"10.024801228186908 56.71347715574603,10.024801228186908 56.725397177383314,10.124460346778578 56.725397177383314,10.124460346778578 56.679390454394145,10.072867959365094 56.679390454394145,10.024801228186908 56.71347715574603"
Terminal  Fredericia,DKFRC,"9.72512017530618 55.55138355455315,9.727190835426992 55.56452699303384,9.77044950241918 55.56365334713186,9.770106179665273 55.55326517938948,9.72512017530618 55.55138355455315"
Port of Kolding,DKKOL,"9.42324999146861 55.46521950156536,9.42324999146861 55.522739938004094,9.543981393352064 55.522739938004094,9.543981393352064 55.46521950156536,9.42324999146861 55.46521950156536"
Port of Vejle,DKVEJ,"9.507148554656531 55.67927458761472,9.507148554656531 55.7367930378317,9.628539048238093 55.7367930378317,9.628539048238093 55.67927458761472,9.507148554656531 55.67927458761472"
Port of Svendborg,DKSVE,"10.6150301990816 55.05419414215828,10.60901132205218 55.05971241366265,10.6164177969582 55.06436978359568,10.62598791872334 55.06036374073156,10.6150301990816 55.05419414215828"
Port of Grenaa,DKGRE,"10.910261524379017 56.4034023962152,10.922277820765737 56.42605016533298,10.939358127772572 56.42267996771511,10.927084339320425 56.40221503438866,10.910261524379017 56.4034023962152"
Karrebaeksminde Havn,DKKBK,"11.62682950917471 55.16865907796063,11.62682950917471 55.185915193847286,11.662762528886935 55.185915193847286,11.662762528886935 55.16865907796063,11.62682950917471 55.16865907796063"
Port of Ringkobing,DKRKG,"8.217765754206997 56.080049069811245,8.217765754206997 56.09730261905455,8.254542572257039 56.09730261905455,8.254542572257039 56.080049069811245,8.217765754206997 56.080049069811245"
Mommark Faergehavn,DKMOM,"10.011676967108327 54.91786675396804,10.011676967108327 54.952381126838056,10.083109471183725 54.952381126838056,10.083109471183725 54.91786675396804,10.011676967108327 54.91786675396804"
Hvide Sande Havn,DKHVS,"8.108146687693791 55.98874942449993,8.098762534166585 56.01274691491537,8.140876791105967 56.01914373114244,8.147285484258447 55.99297406339966,8.108146687693791 55.98874942449993"
ODDEN,DKODN,"11.29729633331299 55.97559675095476,11.30349760055542 55.97444410463476,11.30056862831116 55.97174245523766,11.29750018119812 55.97191056337141,11.29729633331299 55.97559675095476"
Port of Allinge,DKAGE,"14.802149485551768 55.277505862479586,14.79940290352052 55.27943694497648,14.802406977617197 55.2796569357574,14.804423998796397 55.27826364022522,14.802149485551768 55.277505862479586"
Ronne Havn,DKRNN,"14.6804547732225 55.09354795701873,14.68513254574447 55.10246144477694,14.69453100613265 55.10678242037673,14.70143322574388 55.09327577280428,14.69370846378099 55.08913344868208,14.6804547732225 55.09354795701873"
Port of Holstebro - Struer,DKSTR,"8.575610881752707 56.48643844495572,8.575610881752707 56.50369086054007,8.612779973303113 56.50369086054007,8.612779973303113 56.48643844495572,8.575610881752707 56.48643844495572"
Port of Stubbekobing,DKSBK,"12.040429860615845 54.89069290927458,12.041202336812132 54.89314871842967,12.049721032643433 54.89209977303847,12.04952791359436 54.889594534110984,12.040429860615845 54.89069290927458"
Port of Frederikshavn,DKFDH,"10.52754499554489 57.43071756801621,10.54702856182826 57.44702405009089,10.55887319683771 57.43907958990815,10.55449583172495 57.43196506271051,10.54041959881595 57.42882314290781,10.52754499554489 57.43071756801621"
Port of Aabenraa,DKAAB,"9.419565281465252 55.032813819208485,9.421625217988685 55.044421021578216,9.428148350312908 55.04884661129819,9.432783207490642 55.04235557901174,9.424543461396892 55.03251867700496,9.419565281465252 55.032813819208485"
Port of Lemvig,DKLVG,"8.254198744768424 56.53160116445147,8.254198744768424 56.577608971166505,8.353469165928436 56.577608971166505,8.353469165928436 56.53160116445147,8.254198744768424 56.53160116445147"
Haven Ensted,DKENS,"9.397953247524633 55.00667188933027,9.397953247524633 55.01197722438088,9.479207749877006 55.052691021934564,9.493419693180078 55.052691021934564,9.493419693180078 55.00667188933027,9.397953247524633 55.00667188933027"
Port of Copenhagen,DKCPH,"12.52121553653612 55.62644801318058,12.55365911764996 55.70032665544427,12.60172430319488 55.72846636051028,12.63914687025742 55.73571535886264,12.6674710296941 55.62354037668088,12.52121553653612 55.62644801318058"
Port of Ebeltoft,DKEBT,"10.66934068846878 56.18906997479414,10.67364222665615 56.15467192297507,10.66443688531704 56.15152870463331,10.6625915255148 56.15320193271515,10.66866404672451 56.15792243345345,10.66625078368363 56.19026397724002,10.66854675460038 56.19717652108983,10.67358930754838 56.19973110117073,10.67509386739347 56.19971804091284,10.66934068846878 56.18906997479414"
Soby Havn,DKSOB,"10.24883500344716 54.93931533534303,10.25404206434162 54.94611883734737,10.26582947976552 54.94345673663781,10.2630256781484 54.9379676465025,10.24883500344716 54.93931533534303"
Port of Kalundborg,DKKAL,"11.06542572191623 55.68128999940041,11.10196098410464 55.68575784444462,11.11532196302372 55.6653499875614,11.09000190992313 55.65821682877581,11.06379493883517 55.65878172012398,11.06542572191623 55.68128999940041"
Strandby Havn,DKSTY,"10.5016086908475 57.48813763597477,10.49708827415117 57.4967786329193,10.50527080065905 57.49843894630843,10.51244281445339 57.49174557421412,10.5016086908475 57.48813763597477"
Bagenkop Havn,DKBAG,"10.66452166743723 54.75004083705838,10.66852710131237 54.75486212600777,10.68031451411692 54.75413566644488,10.67939899026563 54.74812537396784,10.66452166743723 54.75004083705838"
Haven Bandholm,DKBDX,"11.4553188067236 54.83974320931807,11.46447408190733 54.85766472330857,11.52169454263793 54.83868875255592,11.51208150552856 54.82339606056556,11.4553188067236 54.83974320931807"
Port of Hasle,DKHSL,"14.700507594927409 55.181528712031536,14.698018504961588 55.18946712930162,14.705829097612956 55.1898591089263,14.704498721941569 55.18108764247299,14.700507594927409 55.181528712031536"
Frederiksvaerk Havn,DKFDV,"11.960506053075546 55.94123616688314,11.960506053075546 55.9872483278984,12.058260041247621 55.9872483278984,12.058260041247621 55.94123616688314,11.960506053075546 55.94123616688314"
Port of Hirtshals,DKHIR,"9.942360647631066 57.58995291144163,9.957810171556849 57.6022183317294,10.00707699198108 57.59559551755393,9.992028007775733 57.58151803198211,9.942360647631066 57.58995291144163"
Port of Kerteminde,DKKTD,"10.655699221575535 55.44684547473679,10.663595644915379 55.45550967703156,10.668745486223973 55.45555834695031,10.670118777239598 55.45088576089867,10.655699221575535 55.44684547473679"
Tejn Havn,DKTEJ,"14.83571243 55.25069046,14.8335886 55.24874496,14.83725739 55.24741364,14.84000397 55.24782944,14.83571243 55.25069046"
Port of Svaneke,DKSVA,"15.143411448783045 55.1351947714962,15.144377044028408 55.13715116747102,15.147391846961147 55.13643976184733,15.146608641928799 55.13499851331659,15.143411448783045 55.1351947714962"
Lodshuse,DKLOD,"10.569 55.519,10.576 55.517,10.572 55.513,10.565 55.515,10.569 55.519"
Hornbaek,DKHON,"12.45745282936096 56.09670566304516,12.46032815742493 56.09629871708154,12.461 56.09300000000002,12.455 56.09300000000002,12.45745282936096 56.09670566304516"
Korsoer Havn,DKKRR,"11.11418942241153 55.33608264307742,11.15103940148993 55.34285138185103,11.16160006 55.32558218,11.12849453890385 55.3232579116312,11.11418942241153 55.33608264307742"
Fur Harbour,DKFUH,"8.982550105062279 56.78814814168947,8.982550105062279 56.822652072472735,9.057500109317552 56.822652072472735,9.057500109317552 56.78814814168947,8.982550105062279 56.78814814168947"
Strib Havn,DKSTB,"9.748693371812777 55.53401409781731,9.748693371812777 55.54551740465546,9.772868717863647 55.54551740465546,9.772868717863647 55.53401409781731,9.748693371812777 55.53401409781731"
Port of Randers,DKRAN,"9.984113295391596 56.43361103179958,9.984113295391596 56.49112253365354,10.10789907764055 56.49112253365354,10.10789907764055 56.43361103179958,9.984113295391596 56.43361103179958"
